orden,rama,ocupacion,tareas,tecno
4398,SUPERMERCADO,REALIZA PEDIDOS DE MERCADERIA,"CARGA, REALIZA PEDIDOS, DESCARGA, MANEJA MAQUINARIA","MAQUINARIA PARA LEVANTAR MERCADERIA, EQUIPO PARA PASAR LOS CODIGOS DE LA MERCADERIA"
4407,EMPRESA DE TRANSPORTE,CAMIONERO,"CHOFER, CONDUCIR",
4408,CONTADURIA,CONTADORA,ADMINISTRATIVA,
4416,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,TAREAS DE LIMPIEZA,"GUANTES, ESCOBA, LAMPAZO"
4417,TALLER DE MOTOS Y AUTOS,CROMADOR Y PULIDOR,OPERARIO,"RECTIFICADOR, PULIDOR, PRODUCTOS QUIMICOS"
4425,EMPRESA DE TURISMO,CHOFER DE TURISMO,CHOFER DEL MICRO DE TURISMO,MICRO
4429,VENTA DE GASEOSAS,VISITADORA DE COMERCIOS,"VENTA A LOS COMERCIOS, PROMOCIONAR LAS VENTAS DE GASEOSAS","MOTOCICLETA, LAPIZ"
4433,REALIZACION DE CARTELES,SOLDADOR,SOLDAR CARTELERIAS,"MAQUINA DE SOLDAR, AMOLADORA, AGUJEREADORA, MASCARA"
4434,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,TAREAS DE LIMPIEZA,"ESCOBA, TRAPO DE PISO, PRODUCTOS DE LIMPIEZA"
4436,"VIGILANCIA PRIVADA, SEGURIDAD",VIGILADOR PRIVADO,VIGILANCIA,UNIFORME DE TRABAJO
4467,ESCUELA PUBLICA,DOCENTE PRIMARIA,"MAESTRA DE GRADO, TAREAS ADMINISTRATIVAS","COMPUTADORA, PAPEL, LAPICERA"
4477,VENTA CALLEJERA DE FLORES,VENDEDORA DE FLORES,VENTA DE FLORES CASA POR CASA,"CARRO, TACHOS, PAPEL DE REGALO, CINTA, TIJERA"
4482,CONSTRUCCION Y AMPLIACION DE VIVIENDAS,YESERO,CONSTRUCCION DEL FINO EN PAREDES Y TECHOS,"FRATACHO, CUCHARA, ANDAMIO"
4484,DISTRIBUIDORA MAYORISTA,CAJERO,COBRO DE MERCADERIAS,"MAQUINA REGISTRADORA, LAPICERA"
4488,CASA DE FAMILIA CONSTRUCCION,OFICIAL ALBAÑIL,"CONSTRUCCION DE HABITACIONES, PEGADO DE LADRILLOS","MAQUINA DE CEMENTO, BALDE, PALA"
4503,VENTA DE ARTICULOS COMESTIBLES,VENDEDOR DE ESPECIAS Y CONSERVAS,"RECEPCION DE MERCADERIAS, VENTA AL PUBLICO","PAPEL, LAPICERA, BILLETERA, BOLSAS"
4551,EMPRESA DE COMUNICACIÃ“N,ADMINISTRADOR EN RECURSOS HUMANOS,TRABAJO ADMINISTRATIVO,COMPUTADORA
4560,CUIDADO DE ADULTO MAYOR,SERVICIO DOMESTICO Y CUIDADO DE ADULTO MAYOR,"MANTENER, LIMPIAR, ORDENAR Y CUIDAR ADULTO MAYOR",PRODUCTOS Y ELEMENTOS DE LIMPIEZA
4561,COMERCIO,VENDEDOR,ATIENDE EL NEGOCIO,"BALANZA, CORTADORA DE FIAMBRE"
4581,ESTUDIO JURIDICO DE YERBA BUENA,"SECRETARIA, RECEPCIONISTA","LIMPIA, ORGANIZA FICHAS, ATIENDE EL TELEFONO, RESERVA TURNOS","ARTICULOS DE LIMPIEZA, PAPEL, LAPICERA"
4589,BAR DE COMIDA,MOZO,SIRVE Y COBRA A LOS CLIENTES,"FALDON, DELANTAL, BANDEJA, BILLETERA"
4609,ESTABLECIMIENTO POLICIAL,CABO PRIMERO,"HACE RECORRIDAS, GUARDIA, SERVICIOS","AUTO, HANDY, RADIO, TELEFONO"
4636,"ESTABLECIMIENTO EDUCATIVO, GESTION PUBLICA",DOCENTE DEL NIVEL PRIMARIO,"ENSEÑA EN EL NIVEL PRIMARIO, LENGUA","PIZARRA, TIZA, DELANTAL, FELPA, LIBROS, CARPETA"
4641,SANATORIO PUBLICO,"EMPLEADO ADMINISTRATIVO, RECEPCIONISTA",ANOTA Y RESERVA TURNOS,"COMPUTADORA, FICHAS, LAPICERA, AGENDA"
4642,INSTITUTO PROVINCIAL DE LA VIVIENDA,EMPLEADA ADMINISTRATIVA,COBRA A TRAVES DEL SISTEMA POR FACTURA,"SELLOS, LAPICERA, COMPUTADORA, PAPEL, TALONARIO"
4645,"HIPER MERCADO LIBERTAD, COMERCIO",CONTADORA,CONTROLA LA PLATA QUE INGRESA Y EGRESA DEL ESTABLECIMIENTO,"COMPUTADORA, AGENDA, LAPICERA"
4648,RADIO PRENSA,PERIODISTA,PREPARA LA PRODUCCION DEL DIA,"CUADERNO, LAPICERA, COMPUTADORA"
4667,INGENIO AZUCARERO BELLA VISTA,QUIMICO,ANALIZA LAS MUESTRAS DEL JUGO DE CAÑA,"DELANTAL, MUESTRAS DE JUGO, LA PRENSA, SECADOR"
4669,DISTRIBUIDORA DE PAN,EMPLEADA PARA ENTREGAR PEDIDOS,REPARTE LOS PEDIDOS,"CAMIONETA, LISTA DE PEDIDOS Y DIRECCIONES"
4695,EMPRESA DE REGISTRO DE CONSUMO,ADMINISTRATIVO,,N/S N/C
4698,"HOSPITAL PUBLICO, AL SERVICIO DE LA COMUNIDAD",RECEPCIONISTA DE LA SALA DE PEDIATRIA,"ANOTA LOS PACIENTES, RESERVA TURNOS","COMPUTADORA, LAPICERA, AGENDA, FICHAS"
4724,TRABAJA PARA LAS FAMILIAS QUE LA CONTRATAN,PINTOR DE EXTERIORES E INTERIOR DE VIVIENDAS,"LIMPIAR, LIJAR, PINTAR, LIMPIAR PAREDES, MUEBLES","PINTURA, GAFAS, BARBIJO, ESTENOL, BROCHA, RODILLO, LIJAS, BALDE, MEZCLADOR, ESPATULA"
4752,TALLER DE TORNERIA,TORNERO,REALIZAR PIEZAS A MEDIDA,TORNOS
4753,CASA DE COMIDA,AYUDANTE DE COCINA,"PREPARAR LOS PLATOS, PREPARAR LAS COSAS PARA LA COCINERA","COCINA, HORNO"
4755,TALLER DE TORNERIA,TORNERO,REALIZAR PIEZAS A MEDIDA,TORNOS
4765,"EMPLEADA DOMESTICA, LIMPIEZA",EMPLEADA DOMESTICA,LIMPIEZA DE HOGARES,"LAMPAZOS, TRAPOS, DETERGENTES"
4766,VENTA DE MATERIALES DE CONSTRUCCION,EMPLEADA DE COMERCIO,VENTA MATERIALES DE CONSTRUCCION,COMPUTADORA
4773,"CHANGARIN, CARTONERO, RECICLADO",RECICLADO URBANO,"RECOLECTABA CARTONES, BOTELLAS, FIERROS, ARTICULOS VIEJOS",
4787,TRABAJO EN CONSTRUCCION,ALBAÑILERIA,"CONSTRUCCION DE VIVIENDAS, ARREGLOS EN GENERAL","ILEGIBLE, PALAS, NIVELADORES"
4793,,EMPLEADA DOMESTICA,LIMPIAR Y PLANCHAR EN CASAS,UTENSILIOS DE LIMPIEZA
4798,"PINTA CASAS, LOCALES",PINTOR DE OBRA,PINTAR LOCALES COMERCIALES Y CASAS PARTICULARES,"PINCELES, COMPRESOR"
4799,,SERVICIO DOMESTICO,LIMPIAR Y PLANCHAR EN CASAS PARTICULARES,"ESCOBAS, LAMPAZOS, PRODUCTOS DE LIMPIEZA"
4832,VIÑA,OBRERO RURAL,LABRAR LA TIERRA,"ZAPA, ARADO, PALA"
4841,"EMBOLSA, CONSTRUCCION",CHANGARIN CONSTRUCCION,TAREAS DE CONSTRUCCION,
4852,CHANGAS,"LAVADO, PLANCHADO",LAVAR ROPA Y PLANCHAR,"JABON, PLANCHA"
4859,9801,EMPLEADA DOMESTICA,LIMPIA CASAS,"ASPIRADORA, LAMPAZO, ESCOBA"
4863,COMPRA VENTA DE USADOS,COMERCIANTE,COMPRA Y VENTA DE MUEBLES USADOS,CALCULADORA
4865,CONSTRUCCION,ALBAÑIL,AYUDANTE DE CONSTRUCCION,"PALA, MARTILLO"
4867,9801,SERVICIO DOMESTICO,LIMPIEZA,"LAMPAZO, ESCOBA, ESTROPAJO"
4884,"MC DONALDS, ESTUDIANTE UNIVERSITARIO",ORGANIZACIÃ“N DE EVENTOS,ORGANIZAR SALONES Y A LAS PERSONAS,PINTURAS. ACTIVIDADES RECREATIVAS
4886,SERVICIO DE SEGURIDAD PRIVADO,SEGURIDAD,"CUSTODIAR, CUIDAR, ORDENAR",UNIFORME
4890,SERVICIOS POSTALES,ADMINISTRATIVOS EMPLEADO DEL ESTADO,ADMINISTRATIVOS Y CONTABLES,COMPUTADORAS Y PROGRAMAS ESPECIFICOS
4898,CORREO SERVICIOS POSTALES,"CARTERO, ADMINISTRATIVO","REPARTIDOR DE CARTAS, ORDENAR, RECIBIR","BICICLETA, MAPA"
4901,SERVICIO DE TELEVISION DIRECT,SERVICIO TECNICO A DOMICILIO,"HACE INSTALACIONES, ARREGLOS EN LOS DOMICILIOS","AUTO, HERRAMIENTAS DE ELECTRICIDAD, ESCALERA"
4905,"COMPRA VENTA ARTICULOS DE KIOSCO, SERVICIO DE INTERNET",COMERCIANTE,ATENCION AL CLIENTE,"COMPUTADORAS, CUADERNO, CALCULADORA"
4909,9801,SERVICIO DOMESTICO,LIMPIEZA Y CUIDADO DE NIÑOS,PRODUCTOS DE LIMPIEZA
4920,TRANSPORTE PERSONAL PARA YPF,CHOFER,TRASLADA PERSONAS A LA REFINERIA DE YPF,UN COLECTIVO
4929,"FUERZA POLICIAL, POLICIA FEDERAL",POLICIA,"ADMINISTRATIVAS, SEGUIMIENTO DE LEGAJOS, EXPEDIENTES","COMPUTADORA, UTILES DE OFICINA, IMPRESORA, RADIO"
4935,TRANSPORTAN CARGAS DE CERVEZA ANDES,CHOFER PROFESIONAL,MANEJA Y TRASLADA,CAMION
4936,"COMERCIO DE FRUTAS Y VERDURAS, VERDULERIA","VENDEDORA, ATENCION AL PUBLICO","ATENDIA AL PUBLICO, COBRABA, VENDIA","BALANZA, CALCULADORA, REGISTRADORA"
4943,DISTRIBUYE ROPA DE CAMA,"ATENCION AL PUBLICO, VENDEDOR","EMBALAJE, VENTAS, REPOSICION DE BLANCO",NO UTILIZABA
4945,ES UN COMERCIO DE REPUESTOS DE AUTO,VENDEDOR,VENTA Y ATENCION AL PUBLICO,COMPUTADORA
4947,"A LA EDUCACION, ERA UNA ESCUELA PRIMARIA",DIRECTORA DE UNA ESCUELA PRIMARIA,"TAREAS PEDAGOGICAS, ADMINISTRATIVAS, CONTROL Y GESTION","COMPUTADORAS, LIBROS, PIZARRAS, BOLIGRAFOS, BORRADORES"
4954,FABRICA DE CONSERVAS,OPERARIA,SEPARABA FRUTAS,DESCAROZADOR
4956,9801,EMPLEADA DOMESTICA,LIMPIA Y COCINA,"LAMPAZO, ESCOBA"
4963,ENTE TUCUMAN TURISMO,"EMPLEADO ADMINISTRATIVO, LIQUIDACION DE SUELDOS","LIQUIDACION DE SUELDOS, EMISION DE CHEQUES","CALCULADORA, PAPEL, LAPICERAS, COMPUTADORAS"
4966,"COMERCIO DE VENTA DE COMIDAS, BEBIDAS Y ARTICULOS EN GENERAL",VENDEDOR REPOSITOR,"ATENCION AL CLIENTE, COMPRA DE MERCADERIA, CADETERIA","AUTO, CAMIONETA, BALANZA"
4970,"COMERCIO DE VENTA DE COMIDAS, BEBIDAS Y ARTICULOS EN GENERAL",VENDEDOR,"COMPRA DE MERCADERIA, CADETERIA Y REPOSICION","BALANZA, CAJA REGISTRADORA, CAMIONETA, AUTO"
4976,CITRICOLA,ADMINISTRATIVO DE RECURSOS HUMANOS,"CONTROLA LA LLEGADA Y SALIDA DE PERSONAL, ASISTENCIA","COMPUTADORA, PAPEL, LAPICERA, ARTICULOS DE LIBRERÃA"
4996,EMPLEADO MUNICIPAL,BARRENDERO,LIMPIEZA Y MANTENIMIENTO DE AVENIDAS Y CALLES,"CEPILLO, ESCOBA, PALA"
5013,TRANSPORTE,CAMIONERO,"VIAJES DE LARGA DISTANCIA, MANEJAR","CAMION, RADIO, CELULAR"
5016,CONSTRUCCION,ALBAÑIL,"CONSTRUCCION, REPARACION, PINTAR CASAS","PALA, GUANTES, CARRETILLAS, MARTILLO"
5044,TRANSPORTE,FERROVIARIO,"HACER TRAMITES, MANEJAR, LIMPIEZA",
5065,VENTA DE MERCADERIA,VENDEDOR,"COMPRAR Y VENDER MERCADERIA, LIMPIAR NEGOCIO",
5075,EMPLEADO DE COMERCIO,VENDEDOR,ATENCION AL PUBLICO,
5076,9801,,LIMPIEZA,ELEMENTOS DE LIMPIEZA
5079,CARPINTERIA DE MUEBLES Y OBRAS BLANCAS,CARPINTERO,"MUEBLES, CAMAS, COMODAS, MESAS DE LUZ, MESAS, SILLAS","CEPILLADORA, BARRENO, GARLOPA, TUPI, SIERRA CIRCULAR"
5082,9802,MUCAMA,"LIMPIEZA, COCINAR, PLANCHAR, ACOMODAR","ESCOBAS, GUANTES, DETERGENTES, COCINA"
5086,"CONFECCION DE ROPA, VENTA",MODISTA,"CORTAR Y COSER, MEDIR, COMPRAR Y VENDER","TELA, TIJERA, MAQUINA DE COSER, METRO"
5088,PRODUCCION Y VENTA DE COSAS DULCES,REPOSTERA,"COCINAR, HORNEAR, COMPRAR Y VENDER, LIMPIAR","HORNO, MESADA. CUCHARAS, MEDIDOR"
5122,SERVICIO DE LIMPIEZA,CONSERJE,"LAVAR PISOS, LIMPIEZA DE HABITACIONES","PLUMERO, ESCOBA, DETERGENTE, CEPILLO"
5125,NEGOCIO DE MERCADERIA Y GOLOSINAS,COMERCIANTE,ATIENDE EN EL NEGOCIO,"CAJA DE LA PLATA, CARPETA DE FIADOS, LAPICERA"
5128,"ESTABLECIMIENTO EDUCATIVO, GABINETE",PSICOPEDAGOGA,ANALIZA A UN NIÑO CON PROBLEMAS DE APRENDIZAJE,"CARPETAS, LAPICERA, LIBROS, PAPELES PARA DIBUJAR"
5136,"MATERNIDAD, HOSPITAL PUBLICO",COCINERO,COCINA LA COMIDA DEL DIA,"OLLAS, HORNALLAS, CUBIERTOS, DELANTAL DE COCINA"
5155,"CORRALON, VENTA DE PRODUCTOS PARA CONSTRUIR",CAMIONERO,HACE VIAJES DE ENTREGA Y VIAJES PARA TRAER PRODUCTOS,CAMION
5167,COLEGIOS DE EDUCACION MEDIA,PROFESOR DE TECNOLOGIA Y MATEMATICAS,DICTAR CLASES,"PC, NOTEBOOK"
5173,EMPLEADO MUNICIPALIDAD DE CAPITAL MENDOZA,"RENTAS, TRABAJOS ADMINISTRATIVOS EN LA OFICINA","CARGA DE DATOS, TRAMITES MESA DE ENTRADA",COMPUTADORA
5176,SASTRERIA,COSTURERA,COSER Y CONFECCION DE TRAJES,"MAQUINA DE COSER, AGUJA, HILO, METRO"
5180,VENTA DE EMPANADAS,COCINERO Y VENDEDOR,"COCINA, ENVIO A DOMICILIO","PASTALINDA, ELEMENTOS DE COCINA, HORNO"
5182,"SERVICIO DOMESTICO, ARREGLOS DE CASAS",EMPLEADA DOMESTICA,LIMPIEZA DE CASAS,"PRODUCTOS DE LIMPIEZA, ESCOBA, GAMUZA, LAMPAZO"
5190,CUIDA AUTOS,CUIDADOR DE AUTOS,CUIDA AUTOS,PERSONA EN SI
5198,"EMPRESA FRUTIHORTICOLA, ARANDANOS",COSECHERO RECOLECTOR,COSECHA DE ARANDANOS Y CITRUS,"BALDES, TIJERAS, HERRAMIENTAS MANUALES"
5199,JUBILADO MINISTERIO DE OBRAS,MINISTERIO DE OBRAS Y SERVICIO PUBLICOS DE LA NACION,"CALDERERIA, CHAPAS Y ELEMENTOS DE FUNDICION","MAQUINAS, EQUIPOS ESPECIALES DE FUNDICION"
5202,AMA DE CASA,,,
5212,TALLER DE CHAPA Y PINTURA DE AUTOS,CHAPISTA DE AUTOS,"CHAPISTA, ARREGLO DE VEHICULOS EN LA PARTE DE CARROCERIA Y PINTURA","PLEGADORAS, TALADROS, HERRAMIENTAS ELECTRICAS, LIJAS, PINTURAS, HORNO"
5218,POLICIA DE ENTRE RIOS CUERPO DE BOMBEROS,BOMBERO DE LA POLICIA,"ACUDIA A LLAMADAS POR INCENDIOS, ENTRENAMIENTO RESCATISTA","AUTOBOMBA DE INCENDIOS, HERRAMIENTAS, HACHA, MATA FUEGO, MARTILLO"
5233,COMERCIO,SECRETARIA,ATENCION AL PUBLICO,"COMPUTADORA, TELEFONOS"
5253,ELABORACION DE COMIDAS VIANDAS,COCINERA,COCINA Y ELABORA DIFERENTES PLATOS DE COMIDA,"COCINA, HORNO, HELADERA, UTENSILIOS VARIOS"
5259,"CHACRA, ESTANCIA","PEON RURAL, JORNALERO",CONSTRUCCION DE ALAMBRADOS Y CERCOS,"PALA, CABALLO, ALAMBRE, TENAZA"
5273,MUNICIPALIDAD,INSPECTOR DE TRANSITO,"CONTROLAR EL TRANSITO, ESTA EN LA CALLE","SILBATO, MOTO, CASCO, CUADERNO"
5280,"COMERCIO EN SU CASA, SHOW ROOM",VENDEDOR DE ZAPATOS EN SU CASA,VENDER ZAPATOS,NINGUNA
5286,EDUCACION ESCUELA PRIMARIA,SERENO DE LA ESCUELA DEL BARRIO,"CUIDA LA ESCUELA, BARRE","ESCOBA, BALDE"
5299,AREA DE COMUNICACIÃ“N CASA DE GOBIERNO,OPERADOR,"RECIBE LOS MENSAJES, TRANSMITE INFORMACION",COMPUTADORAS Y TELEFONOS
5300,"AUXILIAR DE ENFERMERA, HOSPITAL",ENFERMERA,CONTROLES RUTINARIOS,NO
5311,VENTA DE EMPANADAS Y PANES CASEROS,AMA DE CASA,PREPARAR MASA Y EMPANADAS Y PANES PARA VENDER,"COCINA, HORNO"
5316,FINCA AGRICOLA,TRACTORISTA,"SEMBRAR Y COSECHAR SOJA, CHIA, SESAMO, GIRASOL","TRACTOR, COSECHADORA, SEMBRADORA"
5322,"ADMINISTRACION PUBLICA, MUNICIPALIDAD",SECRETARIA ADMINISTRATIVA,"HACER TRAMITES, PLANILLAS",COMPUTADORA
5331,PENITENCIARIA DE CACHEUTA,GUARDIA PENITENCIARIA,VIGILANCIA DE PRESOS,"MACANA Y RADIO, COMPUTADORA"
5339,FABRICACION Y VENTA POR MAYOR DE GALLETAS,EMPRESARIO,ADMINISTRACION DE LA EMPRESA,MAQUINA PROCESADORA DE GALLETAS
5344,DEPOSITO DE ATOMO (SUPERMERCADO),EMPLEADO DE DEPOSITO,VALIDAR Y PREPARAR PEDIDOS,COMPUTADORA
5353,REPARACIONES DE ELECTRICIDAD DEL HOGAR,ELECTRICISTA,"INSTALACIONES ELECTRICAS DEL HOGAR, REPARACION DE ELECTRODOMESTICOS","ALICATE, CINTA, PINZA"
5364,ELABORACION Y VENTA AL PUBLICO DE PRODUCTOS PANIFICADOS,OFICIAL PANADERO,"MEZCLAR INGREDIENTES PARA LA ELABORACION DE PANIFICADOS, AMASAR, CONTROLAR LA COCCION DE LOS PRODUCTOS","HORNOS, SOBADORA, BALANZA, BANDEJAS PARA HORNEADO, AMASADORA"
5372,EMPRESA CONSTRUCTORA ESPECIALIZADA EN OBRAS VIALES,ENCARGADO DE OFICINA TECNICA,"CALCULOS DE PLANOS DE ESTRUCTURAS VIALES, REALIZACION DE PRESUPUESTOS","EQUIPOS DE COMPUTACION, IMPRESORA, CELULAR"
5373,CADENA COMERCIAL DE VENTA DE ARTICULOS DE CONSTRUCCION Y DEL HOGAR,VENDEDORA POR VIA TELEFONICA,"ATENCION DE CLIENTES POR VIA TELEFONICA, REALIZAR VENTAS, REALIZAR INFORMES DE LAS VENTAS REALIZADAS Y DE LOS CLIENTES","TELEFONO, AURICULARES CON MICROFONO, COMPUTADORA"
5375,"CENTRO DE ESPARCIMIENTO NOCTURNO, EXPENDIO DE COMIDAS Y BEBIDAS, RESTO BAR",MOZA,"ATENCION AL PUBLICO, TOMAR PEDIDOS A LOS CLIENTES, SERVIR LA MESA, LIMPIEZA DEL LOCAL","BANDEJA, COMANDAS, LAMPAZO"
5378,ELABORACION Y VENTA AL PUBLICO DE PRODUCTOS PANIFICADOS,CAJERA,"COBRO A CLIENTES, ARQUEO DE CAJA, PAGO A PROVEEDORES",CAJA REGISTRADORA
5380,NEGOCIO DE ELABORACION Y VENTA DE VIANDAS Y OTROS ALIMENTOS,ATENCION AL PUBLICO,"LIMPIEZA, ENTREGA DE LA COMIDA A CLIENTES, COBROS, PAGO A PROVEEDORES","CORTADORA DE EMBUTIDOS, CAJA REGISTRADORA, HELADERA, EXHIBIDORA, LAMPAZO"
5382,"CENTRO CULTURAL, PROMOCION DE LA CULTURA, REALIZACION DE EVENTOS CULTURALES, CURSOS","TRAMOYISTA, TECNICO ESCENOGRAFICO","TAREAS ESCENOTECNICAS, BAMBALINAS, ORIENTADOR DE LUCES, ARREGLO DE MUEBLES, ARMADO DE EXPOSICIONES, TAREAS DE MANTENIMIENTO","DESTORNILLADOR, MARTILLOS, CONSOLA DE LUCES, TRAMOYISMO"
5394,HOSPITAL CENTRAL,PERSONAL DE SEGURIDAD,CUIDADO DE PLAYA DE ESTACIONAMIENTO,"LAPICERA, PAPEL"
5403,"OFICINA PUBLICA DE REGISTRO CIVIL, GODOY CRUZ",OFICIAL PUBLICO,"REGISTRO DE NACIMIENTOS, CAMBIOS DE DOMICILIO",LAPICERA Y PAPEL
5416,"NACAR SA, EMPRESA DE REPARACION DE MAQUINARIA PETROLERA",ENCARGADO DE VALVULAS,"REPARACION, MANTENIMIENTO Y HABILITACION DE VALVULAS Y CAÑERIAS DE COMBUSTIBLE LIQUIDOS Y GASEOSOS",COMPUTADORA
5417,COLEGIO KALENHUE,TERAPEUTA DEL LENGUAJE,COORDINADOR DE TRATAMIENTO DE NIÑOS CON NECESIDADES EDUCATIVAS ESPECIALES,"COMPUTADORA, IMÃGENES, MATERIAL CONCRETO"
5454,9802,EMPLEADA DOMESTICA,"LIMPIAR, ORDENAR","ESCOBA, LAMPAZO"
5479,ENCARGADO DE EMPRESA CEMBACUE FORESTAL,"VIGILANCIA Y MANTENIMIENTO, CUIDA","VIGILO EL LUGAR, CUIDO, SOY ENCARGADO","MAQUINA DE CORTE DE MADERA, TRACTOR, LINTERNA"
5489,CHANGARIN,CARGA DE MUEBLES,TRASLADO DE MUEBLES,"MANUAL, CINTA, CUERDA"
5498,TRABAJA EN UNA CARPINTERIA,"OFICIAL CARPINTERO, DISEÑO Y FABRICACION DE MUEBLES",DISEÑA LOS MUEBLES Y LOS FABRICA,"MOLDURERAS, SIERRAS, MARTILLO, CLAVOS, CENTIMETRO"
5515,FABRICA DE MUEBLES,SERVICIO DOMESTICO,"LIMPIEZA, LAVADO, PLANCHADO","BALDE, LAVANDINA, REJILLA, ESCOBA, ESCURRIDOR, HIDROLAVADORA"
5542,VIVERO DE PLANTAS,"EMPLEADO DE VIVERO, JARDINERO","TRANSPLANTABA, REGABA PLANTAS","PALA, TIJERA, PODADORA"
5548,CUIDAR HERMANOS EN LA CASA DE LA MADRE,NIÑERA,CUIDAR A LOS NIÑOS,JUGUETES INFANTILES
5549,CUIDAR HERMANOS EN LA CASA DE LA MADRE,NIÑERA,CUIDAR A LOS NIÑOS,JUGUETES INFANTILES
5568,"KIOSCO, COMERCIO DE BEBIDAS, ALIMENTOS, GOLOSINAS",VENDEDORA,ATENCION AL PUBLICO,"CORTADORA DE FIAMBRE, QUESO, BALANZA, CALCULADORA"
5601,TALLER DE COSTURA,COSTURERA,FABRICA GUARDAPOLVOS Y SABANAS,MAQUINA INDUSTRIAL
5608,"ESCUELA, ENSEÑANZA",AUXILIAR DE DIRECCION,CONTROLA LOS ALUMNOS Y TAREAS ADMINISTRATIVAS,COMPUTADORA
5627,CONSTRUCTORA DE VIVIENDAS Y EDIFICIOS,OFICIAL ALBAÑIL,"LOSA Y TODO LO QUE ES CONSTRUCCION, TOMA DE MEDIDAS, LEVANTA PAREDES, COLUMNAS, PISOS","MEZCLADORA, BALDE, CUCHARA, PLOMO, NIVEL, FRATACHO, AMOLADORA"
5643,EMPRESA DE COMERCIALIZACION DE PRODUCTOS DE LIMPIEZA,VIAJANTE,HACE VENTAS,AUTO
5648,"MUNICIPALIDAD, DIRECCION DE HIGIENE Y SEGURIDAD LABORAL",SUBDIRECTORA,"RELEVAMIENTO DE RIESGOS DE TRABAJO EN CADA REPARTICION, ASESORAMIENTO","PC, TELEFONO"
5657,TAMBO,TAMBERA,EXTRAER LECHE DE LAS VACAS,"ORDEÑADORA, TACHOS"
5662,SERVICIO PROFESIONAL DE CONTADURIA,CONTADOR PUBLICO,"LIQUIDACION DE IMPUESTOS, BALANCE",COMPUTADORA
5669,ALTA COSTURA,COSTURERA,"COSER ROPA, MOLDERIA",MAQUINA DE COSER
5691,CLINICA PRIVADA ATENCION A LA SALUD,MEDICO GASTROENTEROLOGO,ATENCION A LOS PACIENTES,"ESTETOSCOPIO, RECETAS, MEDICAMENTOS, LAPICERAS"
5693,"EMPLEADA EN UNA EMPRESA DE SERVICIOS DE SEGUROS EN GENERAL, CASAS, ART DEL HOGAR","PERITO, TRASLADANDOSE A DIFERENTES LUGARES PARA VERIFICAR EL SINIESTRO Y AJUSTADOR DE PRESUPUESTOS",CONCURRIR A LOS DOMICILIOS Y SACAR FOTOS PARA VERIFICAR EL SINIESTRO Y LIQUIDACION DEL PAGO A LOS CLIENTES,"COMPUTADORA, TELEFONO, MAQUINA DE FOTOS"
5699,REPARACION DE RADIO Y TELEVISION,TECNICO DE AUDIO Y TELEVISION,"CAMBIO DE INTEGRADOS, SOLDADURAS","SOLDADOR DE PUNTA, EXTRACCION DE ESTAÑO DE FUNDICION, BANCO DE TRABAJO"
5700,RECEPCION Y ENVIO DE CARTAS Y ENCOMIENDAS A TODO EL PAIS,EMPLEADO ADMINISTRATIVO Y AYUDANTE DEL CONTADOR,"SUPERVISIÃ“N JUNTO AL CONTADOR LA SITUACION FINANCIERA DE LA EMPRESA , LLEVA EL CONTROL DE LAS CUENTAS A PAGAR Y DEL PAGO DEL PERSONAL3","COMPUTADORA, CALCULADORA, LAPICERA, PLANILLAS, TELEFONO"
5715,VENTA DE ARTICULOS DE MERCERIA,ADMINISTRATIVA,"ATENCION AL CLIENTE, BALANCES, HACER LA CAJA DIARIA, TELEFONISTA","COMPUTADORA, TELEFONO, FAX, IMPRESORA"
5720,FABRICACION DE MUEBLES DE MADERA,CARPINTERO DE MUEBLES,"CORTAR LA MADERA, LIJAR, ENCOLAR, CLAVAR, BARNIZAR LA MADERA","SIERRA, GARLOPA, MARTILLO, LIJADORA"
5727,EMPRESA METALURGICA,"OBRERO, SOLDADOR",SOLDAR CAÑOS CON SOLDADOR DE ALTA PRESION,"SOLDADOR, ANTIPARRAS, CHALECO PARA CUBRIRSE, GUANTES"
5730,TRABAJA EN EL CAMPO,CAMPESINO,"COSECHAR, SEMBRAR Y REGAR","PALA, PICO Y REGADOR"
5732,"AL SERVICIO DE TRANSPORTE A TERCEROS, CARGA Y DESCARGA",TRANSPORTISTA,TAREA DE GESTION Y LOGISTICA,"VEHICULOS PARA EL TRANSPORTE, UTILITARIOS"
5747,NIÑERA,CUIDADO NIÑOS,CUIDADO DE NIÑOS,
5749,DELIVERY,REPARTO A DOMICILIO,REPARTO Y ENTREGA DE ALIMENTOS,MOTO
5755,DOCENTE,ENSEÑANZA,DOCENCIA,
5758,EMPLEADA,COORDINADORA EN JARDINES MATERNALES,COORDINA LA PERSONAL DOCENTE DE LOS JARDINES MATERNALES,
5762,ONG,ATENCIÃ“N DE PACIENTES,PRACTICAS PRE PROFESIONALES,
5767,MINISTERIO DE INFRAESTRUCTURA,INGENIERIA EN TELECOMUNICACIONES,PROYECTISTA,
5771,PRODUCTOR DE SEGUROS,ASESOR DE SEGUROS,"VENTAS, ASESORAMIENTOS",PC
5775,EMPRESA YPF,"EMPLEADO, LIQUIDACION DE SUELDO","LIQUIDACION DE SUELDO, AGUINALDO","HOJAS, CALCULADORA, LAPICERAS"
